tipo de material,codigo,nombre,pkg
TERMINAL,TKT1202522AU,731375-G,6000
TERMINAL,TKT1202522SN,731375-3,6000
TERMINAL,TKT12025C6SN,731443-3,7000
TERMINAL,TKT12025E6SN,731524-3,7000
TERMINAL,TKT1204002SN,730517-3,6000
TERMINAL,TKT1204022SN,731078-3,4000
TERMINAL,TKT1204032SN,730770-3,5000
TERMINAL,TKT1204WP5SN,740926-3,5000
TERMINAL,TKT1204WP6SN,730924-3,5000
TERMINAL,TKT1205002SN,730751-3,5000
TERMINAL,TKT1206012SN,731335-3,5000
TERMINAL,TKT1206022SN,730796-3,4000
TERMINAL,TKT12060F2SN,731268-3,4500
TERMINAL,TKT12060M1SN,741271-3,5000
TERMINAL,TKT12060W6SN,731274-3,3000
TERMINAL,TKT1206402SN,731068-3,7000
TERMINAL,TKT1206410SN,710848-3,2000
TERMINAL,TKT1206420SN,710808-3,2000
TERMINAL,TKT12064T0SN,710859-3,2000
TERMINAL,TKT1209002SN,730365-3,6000
TERMINAL,TKT1209021SN,740672-3,6000
TERMINAL,TKT1209022SN,730675-3,4000
TERMINAL,TKT1209032SN,730775-3,4000
TERMINAL,TKT12090D2SN,731046-3,4000
TERMINAL,TKT12092W5SN,740686-3,3000
TERMINAL,TKT12092W6AU,730623-G,3000
TERMINAL,TKT12092W6SN,730623-3,3000
TERMINAL,TKT1209W66AG,730689-S,3500
TERMINAL,TKT1209W66SN,730689-3,3500
